# Frequency, Fit
4.12308e+01, 1.32380e-02
4.13077e+01, 1.31661e-02
4.13846e+01, 1.30946e-02
4.14615e+01, 1.30235e-02
4.15385e+01, 1.29527e-02
4.16154e+01, 1.28823e-02
4.16923e+01, 1.28123e-02
4.17692e+01, 1.27427e-02
4.18462e+01, 1.26735e-02
4.19231e+01, 1.26046e-02
4.20000e+01, 1.25362e-02
4.20769e+01, 1.24680e-02
4.21538e+01, 1.24003e-02
4.22308e+01, 1.23329e-02
4.23077e+01, 1.22659e-02
4.23846e+01, 1.21993e-02
4.24615e+01, 1.21330e-02
4.25385e+01, 1.20670e-02
4.26154e+01, 1.20015e-02
4.26923e+01, 1.19363e-02
4.27692e+01, 1.18714e-02
4.28462e+01, 1.18069e-02
4.29231e+01, 1.17427e-02
4.30000e+01, 1.16789e-02
4.30769e+01, 1.16154e-02
4.31538e+01, 1.15523e-02
4.32308e+01, 1.14895e-02
4.33077e+01, 1.14271e-02
4.33846e+01, 1.13650e-02
4.34615e+01, 1.13032e-02
4.35385e+01, 1.12418e-02
4.36154e+01, 1.11807e-02
4.36923e+01, 1.11199e-02
4.37692e+01, 1.10595e-02
4.38462e+01, 1.09994e-02
4.39231e+01, 1.09396e-02
4.40000e+01, 1.08802e-02
4.40769e+01, 1.08210e-02
4.41538e+01, 1.07622e-02
4.42308e+01, 1.07037e-02
4.43077e+01, 1.06455e-02
4.43846e+01, 1.05877e-02
4.44615e+01, 1.05301e-02
4.45385e+01, 1.04729e-02
4.46154e+01, 1.04160e-02
4.46923e+01, 1.03593e-02
4.47692e+01, 1.03030e-02
4.48462e+01, 1.02470e-02
4.49231e+01, 1.01913e-02
4.50000e+01, 1.01359e-02
4.50769e+01, 1.00808e-02
4.51538e+01, 1.00260e-02
4.52308e+01, 9.97152e-03
4.53077e+01, 9.91731e-03
4.53846e+01, 9.86340e-03
4.54615e+01, 9.80978e-03
4.55385e+01, 9.75645e-03
4.56154e+01, 9.70341e-03
4.56923e+01, 9.65066e-03
4.57692e+01, 9.59819e-03
4.58462e+01, 9.54601e-03
4.59231e+01, 9.49411e-03
4.60000e+01, 9.44250e-03
4.60769e+01, 9.39116e-03
4.61538e+01, 9.34010e-03
4.62308e+01, 9.28932e-03
4.63077e+01, 9.23882e-03
4.63846e+01, 9.18859e-03
4.64615e+01, 9.13863e-03
4.65385e+01, 9.08894e-03
4.66154e+01, 9.03952e-03
4.66923e+01, 8.99038e-03
4.67692e+01, 8.94149e-03
4.68462e+01, 8.89288e-03
4.69231e+01, 8.84452e-03
4.70000e+01, 8.79643e-03
4.70769e+01, 8.74860e-03
4.71538e+01, 8.70103e-03
4.72308e+01, 8.65372e-03
4.73077e+01, 8.60667e-03
4.73846e+01, 8.55987e-03
4.74615e+01, 8.51332e-03
4.75385e+01, 8.46703e-03
4.76154e+01, 8.42099e-03
4.76923e+01, 8.37520e-03
4.77692e+01, 8.32966e-03
4.78462e+01, 8.28436e-03
4.79231e+01, 8.23931e-03
4.80000e+01, 8.19451e-03
4.80769e+01, 8.14995e-03
4.81538e+01, 8.10563e-03
4.82308e+01, 8.06155e-03
4.83077e+01, 8.01771e-03
4.83846e+01, 7.97411e-03
4.84615e+01, 7.93074e-03
4.85385e+01, 7.88761e-03
4.86154e+01, 7.84472e-03
4.86923e+01, 7.80206e-03
4.87692e+01, 7.75963e-03
4.88462e+01, 7.71743e-03
4.89231e+01, 7.67546e-03
4.90000e+01, 7.63371e-03
4.90769e+01, 7.59220e-03
4.91538e+01, 7.55091e-03
4.92308e+01, 7.50984e-03
4.93077e+01, 7.46900e-03
4.93846e+01, 7.42838e-03
4.94615e+01, 7.38798e-03
4.95385e+01, 7.34779e-03
4.96154e+01, 7.30783e-03
4.96923e+01, 7.26809e-03
4.97692e+01, 7.22856e-03
4.98462e+01, 7.18924e-03
4.99231e+01, 7.15014e-03
5.00000e+01, 7.11125e-03
5.00769e+01, 7.07257e-03
5.01538e+01, 7.03410e-03
5.02308e+01, 6.99584e-03
5.03077e+01, 6.95779e-03
5.03846e+01, 6.91995e-03
5.04615e+01, 6.88231e-03
5.05385e+01, 6.84487e-03
5.06154e+01, 6.80764e-03
5.06923e+01, 6.77061e-03
5.07692e+01, 6.73379e-03
5.08462e+01, 6.69716e-03
5.09231e+01, 6.66073e-03
5.10000e+01, 6.62450e-03
5.10769e+01, 6.58847e-03
5.11538e+01, 6.55263e-03
5.12308e+01, 6.51698e-03
5.13077e+01, 6.48153e-03
5.13846e+01, 6.44628e-03
5.14615e+01, 6.41121e-03
5.15385e+01, 6.37634e-03
5.16154e+01, 6.34165e-03
5.16923e+01, 6.30715e-03
5.17692e+01, 6.27284e-03
5.18462e+01, 6.23872e-03
5.19231e+01, 6.20478e-03
5.20000e+01, 6.17103e-03
5.20769e+01, 6.13746e-03
5.21538e+01, 6.10407e-03
5.22308e+01, 6.07087e-03
5.23077e+01, 6.03784e-03
5.23846e+01, 6.00499e-03
5.24615e+01, 5.97233e-03
5.25385e+01, 5.93984e-03
5.26154e+01, 5.90752e-03
5.26923e+01, 5.87538e-03
5.27692e+01, 5.84342e-03
5.28462e+01, 5.81163e-03
5.29231e+01, 5.78001e-03
5.30000e+01, 5.74857e-03
5.30769e+01, 5.71730e-03
5.31538e+01, 5.68619e-03
5.32308e+01, 5.65526e-03
5.33077e+01, 5.62449e-03
5.33846e+01, 5.59389e-03
5.34615e+01, 5.56346e-03
5.35385e+01, 5.53319e-03
5.36154e+01, 5.50308e-03
5.36923e+01, 5.47314e-03
5.37692e+01, 5.44337e-03
5.38462e+01, 5.41375e-03
5.39231e+01, 5.38430e-03
5.40000e+01, 5.35500e-03
5.40769e+01, 5.32587e-03
5.41538e+01, 5.29689e-03
5.42308e+01, 5.26807e-03
5.43077e+01, 5.23941e-03
5.43846e+01, 5.21090e-03
5.44615e+01, 5.18255e-03
5.45385e+01, 5.15435e-03
5.46154e+01, 5.12631e-03
5.46923e+01, 5.09842e-03
5.47692e+01, 5.07068e-03
5.48462e+01, 5.04309e-03
5.49231e+01, 5.01565e-03
5.50000e+01, 4.98836e-03
5.50769e+01, 4.96122e-03
5.51538e+01, 4.93422e-03
5.52308e+01, 4.90737e-03
5.53077e+01, 4.88067e-03
5.53846e+01, 4.85412e-03
5.54615e+01, 4.82770e-03
5.55385e+01, 4.80144e-03
5.56154e+01, 4.77531e-03
5.56923e+01, 4.74933e-03
5.57692e+01, 4.72348e-03
5.58462e+01, 4.69778e-03
5.59231e+01, 4.67222e-03
5.60000e+01, 4.64680e-03
5.60769e+01, 4.62151e-03
5.61538e+01, 4.59636e-03
5.62308e+01, 4.57135e-03
5.63077e+01, 4.54648e-03
5.63846e+01, 4.52174e-03
5.64615e+01, 4.49713e-03
5.65385e+01, 4.47266e-03
5.66154e+01, 4.44832e-03
5.66923e+01, 4.42412e-03
5.67692e+01, 4.40004e-03
5.68462e+01, 4.37610e-03
5.69231e+01, 4.35229e-03
5.70000e+01, 4.32860e-03
5.70769e+01, 4.30505e-03
5.71538e+01, 4.28162e-03
5.72308e+01, 4.25832e-03
5.73077e+01, 4.23515e-03
5.73846e+01, 4.21210e-03
5.74615e+01, 4.18918e-03
5.75385e+01, 4.16639e-03
5.76154e+01, 4.14371e-03
5.76923e+01, 4.12116e-03
5.77692e+01, 4.09874e-03
5.78462e+01, 4.07643e-03
5.79231e+01, 4.05425e-03
5.80000e+01, 4.03219e-03
5.80769e+01, 4.01024e-03
5.81538e+01, 3.98842e-03
5.82308e+01, 3.96671e-03
5.83077e+01, 3.94513e-03
5.83846e+01, 3.92366e-03
5.84615e+01, 3.90230e-03
5.85385e+01, 3.88107e-03
5.86154e+01, 3.85995e-03
5.86923e+01, 3.83894e-03
5.87692e+01, 3.81805e-03
5.88462e+01, 3.79727e-03
5.89231e+01, 3.77660e-03
5.90000e+01, 3.75605e-03
5.90769e+01, 3.73561e-03
5.91538e+01, 3.71528e-03
5.92308e+01, 3.69506e-03
5.93077e+01, 3.67495e-03
5.93846e+01, 3.65495e-03
5.94615e+01, 3.63506e-03
5.95385e+01, 3.61528e-03
5.96154e+01, 3.59560e-03
5.96923e+01, 3.57603e-03
5.97692e+01, 3.55657e-03
5.98462e+01, 3.53721e-03
5.99231e+01, 3.51796e-03
6.00000e+01, 3.49882e-03
6.00769e+01, 3.47977e-03
6.01538e+01, 3.46084e-03
6.02308e+01, 3.44200e-03
6.03077e+01, 3.42327e-03
6.03846e+01, 3.40463e-03
6.04615e+01, 3.38611e-03
6.05385e+01, 3.36768e-03
6.06154e+01, 3.34935e-03
6.06923e+01, 3.33112e-03
6.07692e+01, 3.31299e-03
6.08462e+01, 3.29496e-03
6.09231e+01, 3.27702e-03
6.10000e+01, 3.25919e-03
6.10769e+01, 3.24145e-03
6.11538e+01, 3.22381e-03
6.12308e+01, 3.20626e-03
6.13077e+01, 3.18881e-03
6.13846e+01, 3.17145e-03
6.14615e+01, 3.15419e-03
6.15385e+01, 3.13702e-03
6.16154e+01, 3.11995e-03
6.16923e+01, 3.10297e-03
6.17692e+01, 3.08608e-03
6.18462e+01, 3.06928e-03
6.19231e+01, 3.05258e-03
6.20000e+01, 3.03596e-03
6.20769e+01, 3.01944e-03
6.21538e+01, 3.00300e-03
6.22308e+01, 2.98666e-03
6.23077e+01, 2.97040e-03
6.23846e+01, 2.95423e-03
6.24615e+01, 2.93815e-03
6.25385e+01, 2.92216e-03
6.26154e+01, 2.90626e-03
6.26923e+01, 2.89044e-03
6.27692e+01, 2.87470e-03
6.28462e+01, 2.85906e-03
6.29231e+01, 2.84349e-03
6.30000e+01, 2.82802e-03
6.30769e+01, 2.81262e-03
